PlateName	PlateID	wellLocation	ReagentClass	ReagentID	PCA01	PCA02	PCA03	PCA04	PCA05	PCA06	PCA07	PCA08	PCA09	PCA10	DistanceScore	pvalue	PercentageMissingPerRecord	V1	Compound	IRstatut	Wellnumber	XPlate	Concentration	Category	XsplitColumn	Raw_AreaShapeAreaC
1	1	h05	SAMPLE	Phosphoramidon	0.919031249013718	0.768170562636225	-0.877771542816095	-0.42527566583255	-0.0295418704598055	0.628733194037176	0.0916710032511909	1.24112592638729	1.04902476418728	-0.364607684083449	1.68650130349537	1.24345743372588e-115	0	163	Phosphoramidon	+ IR	H05	AstroD_IR_1uM	1uM	SAMPLE	AstroD_IR_1uM	60175.1621621622
2	1	o17	SAMPLE	BMS-3	1.00892805225753	0.447835203278601	0.60996404317041	0.0248665262919105	0.362932877939966	0.559092403252612	-0.447103908310682	0.559050150039734	1.1145773739997	0.950702503309617	1.68504798597552	1.24345743372588e-115	0	279	BMS-3	+ IR	O17	AstroD_IR_3uM	3uM	SAMPLE	AstroD_IR_3uM	58849.208
2	1	f13	SAMPLE	AG-1296	0.403419461452058	0.0917744635491838	-1.05759228928491	0.162539203237458	-0.229755019833259	-0.429190604365272	-1.55287816992774	0.849089386655657	1.55987658332988	0.83903719993442	1.61008428674383	3.20101786171553e-104	0	253	AG-1296	+ IR	F13	AstroD_IR_3uM	3uM	SAMPLE	AstroD_IR_3uM	55743.1960784314
2	1	b21	SAMPLE	SP600125	1.99178549481653	-0.232103338387323	-1.38395563292479	-3.42387395626608	-0.860668784020843	0.929676565965649	-0.551052377538702	0.211553518082729	-0.102488971706225	-0.565737038683219	1.57371602332863	6.05767131669855e-99	0	398	SP600125	+ IR	B21	AstroD_IR_3uM	3uM	SAMPLE	AstroD_IR_3uM	69589.4266666667
2	1	b13	SAMPLE	Resveratrol	0.30593964165078	0.424320856688263	-0.558354163279909	-0.679383296465803	-0.496451639844656	-0.193352337002177	-2.27071131188523	0.440264989469073	-1.62693817243011	-0.336743447235237	1.57084544987937	1.23377364372576e-98	0	385	Resveratrol	+ IR	B13	AstroD_IR_3uM	3uM	SAMPLE	AstroD_IR_3uM	51539.5808823529
2	1	i14	SAMPLE	Triciribine	0.334303928996232	1.43147388919329	0.148223304938579	0.477367274668159	0.486169374775157	-0.0243951711288431	-0.762509381295988	2.05674419886576	0.84745460990657	0.0668860132650638	1.57040271973974	1.23377364372576e-98	0	413	Triciribine	+ IR	I14	AstroD_IR_3uM	3uM	SAMPLE	AstroD_IR_3uM	53905.8707482993
2	1	e12	SAMPLE	SP 600125	0.372470536830311	0.621484592063572	-0.857746427106393	-1.51274062932023	0.00161909862449974	0.368177946121894	0.432609555376672	0.433394508272807	0.484466138224677	0.413191503991413	1.54856392471005	1.55394643746878e-95	0	397	SP 600125	+ IR	E12	AstroD_IR_3uM	3uM	SAMPLE	AstroD_IR_3uM	55273.8580645161
1	1	g13	SAMPLE	CA-074 Me	0.129534014787874	0.586780331249123	-0.576319273668803	-0.354068070143778	-0.997881654060735	-0.593345683347694	0.81555779947889	0.537221530929678	0.252725461293442	0.190739175293073	1.54514810492738	4.2087037962843e-95	0	62	CA-074 Me	+ IR	G13	AstroD_IR_1uM	1uM	SAMPLE	AstroD_IR_1uM	51182.6737967914
2	1	o13	SAMPLE	2-Hydroxy-5-(2.5-dihydroxybenzylamino)benzoic acid	0.494733417175986	1.50501221804948	-0.57838317599298	-0.0537871724067293	0.242042328534704	0.494739203059487	0.509529697233092	0.106709218880648	0.767939138472889	0.882039546445739	1.53813499105264	3.77149864591205e-94	0	241	2-Hydroxy-5-(2.5-dihydroxybenzylamino)benzoic acid	+ IR	O13	AstroD_IR_3uM	3uM	SAMPLE	AstroD_IR_3uM	55858.3671875
2	1	h10	SAMPLE	Elastatinal	0.493308118980418	0.615489931008383	-0.895764448053738	-0.495460515162863	0.847740872960448	-0.353576849353694	-0.756976288642048	0.83098505124858	0.661138039950179	2.30818209537986	1.52172202961061	7.21930817141281e-92	0	322	Elastatinal	+ IR	H10	AstroD_IR_3uM	3uM	SAMPLE	AstroD_IR_3uM	57553.6862745098
2	1	c12	SAMPLE	Valproic acid hydroxamate	0.213063768998565	0.533262108298404	-0.659303933487167	-1.99556410851671	0.615372259315336	-0.575412149109673	-0.419938586644288	0.663166635318774	0.46003312402639	-1.28561580939322	1.4872261134802	4.1147405508289e-87	0	426	Valproic acid hydroxamate	+ IR	C12	AstroD_IR_3uM	3uM	SAMPLE	AstroD_IR_3uM	54035.6206896552
2	1	b07	SAMPLE	Wortmannin	0.513504104735065	0.491129459604748	-1.33118400031655	-0.50675235681422	0.0580381470603614	1.0268273271819	-0.12406526430548	-0.395806312766111	0.710418309209209	1.71004276470854	1.45348285570614	1.39465695532522e-82	0	427	Wortmannin	+ IR	B07	AstroD_IR_3uM	3uM	SAMPLE	AstroD_IR_3uM	58442.8571428571
2	1	i10	SAMPLE	Iso-olomoucine	-0.464832803070241	0.697093723048729	0.0993242270588785	-0.357868680568518	0.671207654302879	-0.378545871905338	-0.422075306532351	0.753656812331604	0.973897838140008	0.74685189191055	1.44477945885275	1.85314437495603e-81	0	345	Iso-olomoucine	+ IR	I10	AstroD_IR_3uM	3uM	SAMPLE	AstroD_IR_3uM	49426.4529411765
1	1	l06	SAMPLE	SC-514	-0.350184112473041	0.088217730847599	0.869776832190382	-0.364592137237231	-0.0182801028541256	0.697169750848195	0.482922701858126	1.62723955319716	1.95838446913139	-1.34897359994929	1.43714876344526	1.75562751297293e-80	0	181	SC-514	+ IR	L06	AstroD_IR_1uM	1uM	SAMPLE	AstroD_IR_1uM	50335.1779141104
2	1	l10	SAMPLE	E-64-d	0.688535661997862	0.37841575975728	-0.646627827120778	0.500881298049021	0.799784224873519	0.299701867635162	-0.391086232042463	0.250035736040593	2.00454950590615	1.00691692143689	1.43207959448858	7.60470202168109e-80	0	321	E-64-d	+ IR	L10	AstroD_IR_3uM	3uM	SAMPLE	AstroD_IR_3uM	58993.6147540984
1	1	o11	SAMPLE	Olomoucine	1.26027477951121	0.799810525621409	-0.494144114847346	1.29546227906349	-1.81000735806136	0.422959481740084	-0.646288910900244	0.486993740843894	1.71033480283485	1.08653065996296	1.42638877562814	3.9637057226513e-79	0	155	Olomoucine	+ IR	O11	AstroD_IR_1uM	1uM	SAMPLE	AstroD_IR_1uM	58760.9516129032
1	1	o08	SAMPLE	PMSF	1.18585986652813	1.40675275311756	-0.3573882316343	0.0530271344686294	1.15920821439726	1.50155758893986	0.371274691424469	1.85807345269838	0.456408728481436	0.520722281697753	1.42541262768599	5.00286215014546e-79	0	167	PMSF	+ IR	O08	AstroD_IR_1uM	1uM	SAMPLE	AstroD_IR_1uM	63094.9865771812
2	1	e20	SAMPLE	BMS-3	0.347959471094272	1.25154666505205	-1.19404831008818	-0.331064522775525	0.105688441300957	0.988590180156743	0.383253619158312	0.126390814366438	-0.143875558800169	0.92219411975909	1.42279539871823	1.03655388819179e-78	0	278	BMS-3	+ IR	E20	AstroD_IR_3uM	3uM	SAMPLE	AstroD_IR_3uM	57007.7891566265
2	1	g20	SAMPLE	SP600125	0.593983949628563	1.14885174103553	-1.50229231094797	-1.64365262167551	-0.586766967171371	1.78292195153139	1.19836627588915	0.165219277115048	0.681157075863171	1.01376514558255	1.42010401181674	2.19888289287422e-78	0	399	SP600125	+ IR	G20	AstroD_IR_3uM	3uM	SAMPLE	AstroD_IR_3uM	61651.7125748503
