PlateName	PlateID	wellLocation	ReagentClass	ReagentID	PCA01	PCA02	PCA03	PCA04	PCA05	PCA06	PCA07	PCA08	PCA09	PCA10	DistanceScore	pvalue	PercentageMissingPerRecord	V1	Compound	IRstatut	Wellnumber	XPlate	Concentration	Category	XsplitColumn	Raw_AreaShapeAreaC
2	1	d17	SAMPLE	Phenylbutyrate·Na	1.19688853317047	-0.0636915221879799	0.238663105040936	0.728893337912117	0.0369811248388909	-0.636428052584894	-0.718830460968084	-0.794336569214082	0.976089123712472	-1.89864055476583	1.67811156932597	4.92246161311988e-81	0	386	Phenylbutyrate·Na	+ IR	D17	AstroF_IR_3uM	3uM	SAMPLE	AstroF_IR_3uM	61906.0517241379
2	1	c12	SAMPLE	Valproic acid hydroxamate	0.170280461819191	0.516172714538606	0.5341397908607	-0.281451189540305	0.723477517886327	-0.830737631357251	-0.927601278399627	-0.877367043670325	0.291537591437677	-0.0769638269603291	1.62965994409559	5.08149528626248e-76	0	434	Valproic acid hydroxamate	+ IR	C12	AstroF_IR_3uM	3uM	SAMPLE	AstroF_IR_3uM	51347.624
2	1	d11	SAMPLE	H-9Â·HCl	0.277472634645637	0.90085139914277	1.91489399223375	0.404163990330161	-0.483582438207743	-0.0975916609563054	-1.4805815922383	-0.750587176584184	0.360058877155408	-0.588071615104213	1.6156050389249	1.09214534182204e-74	0	344	H-9Â·HCl	+ IR	D11	AstroF_IR_3uM	3uM	SAMPLE	AstroF_IR_3uM	58877.73
2	1	e10	SAMPLE	TLCK·HCl	-0.0641179206495304	0.494735630382639	0.903366012410749	1.64712108606531	-0.566668193249164	-0.549244682542077	-0.999254831778677	-0.222875812287614	1.5475473109962	1.00655645963343	1.60865232875194	4.50780857745812e-74	0	417	TLCK·HCl	+ IR	E10	AstroF_IR_3uM	3uM	SAMPLE	AstroF_IR_3uM	60959.1911764706
2	1	c06	SAMPLE	AAF-CMK	-0.592385527354471	-1.07611271068527	1.09204542854749	0.510933161890314	0.685643900064676	-0.570833367797373	-0.19134886216188	-1.23173513944608	0.0774313869006423	-2.30397855789989	1.60254002693803	1.6037062824662e-73	0	247	AAF-CMK	+ IR	C06	AstroF_IR_3uM	3uM	SAMPLE	AstroF_IR_3uM	60950.9158878505
1	1	o06	SAMPLE	Enalapril	0.0934257391666623	-1.57358368136405	1.68882358610424	0.747522103261641	-1.10968544447381	-0.551985966292671	0.477448907258511	-1.25607359277353	-1.10444416259263	-1.45200590393441	1.59394689943048	1.07708670800946e-72	0	104	Enalapril	+ IR	O06	AstroF_IR_1uM	1uM	SAMPLE	AstroF_IR_1uM	72917.5333333333
2	1	d13	SAMPLE	SU1498	0.184837911039682	0.0758007176076346	0.0923827485691469	0.096791996335506	0.83833708294791	-0.123527651587154	-0.0706357479435612	-1.2613085717812	1.0920787658894	-1.36099896340903	1.55335725694336	1.48071064770063e-68	0	413	SU1498	+ IR	D13	AstroF_IR_3uM	3uM	SAMPLE	AstroF_IR_3uM	55074.6974789916
1	1	o12	SAMPLE	BML-278	-0.693938501034351	-1.02829727858037	-0.363782189807697	0.373646320675512	-0.739023488120013	-0.373785223707232	-0.268169060556752	-1.21829851426957	0.0215249929806038	-1.52022197603579	1.55093309825224	2.28911800353228e-68	0	54	BML-278	+ IR	O12	AstroF_IR_1uM	1uM	SAMPLE	AstroF_IR_1uM	62110.6941176471
2	1	h12	SAMPLE	Splitomicin	-0.0208462537553338	0.455862972455494	1.49822101888975	0.086558830460118	-0.299197212757669	-0.0767315556216525	0.351257201975769	-0.64752226977619	0.718371001032816	-0.187568563148714	1.52896026358543	3.37852526825084e-66	0	411	Splitomicin	+ IR	H12	AstroF_IR_3uM	3uM	SAMPLE	AstroF_IR_3uM	61510.3406593407
1	1	e18	SAMPLE	TYRPHOSTIN 1	1.98655421272967	-0.75594393983395	1.11440263972955	-0.666931325578219	0.86487550313271	-0.438198307154905	-0.718181702287046	-1.55237893810027	-0.123096055225887	-0.839885085825018	1.50400662152949	9.1187540604297e-64	0	197	TYRPHOSTIN 1	+ IR	E18	AstroF_IR_1uM	1uM	SAMPLE	AstroF_IR_1uM	57282.524691358
