PlateName	PlateID	wellLocation	ReagentClass	ReagentID	PCA01	PCA02	PCA03	PCA04	PCA05	PCA06	PCA07	DistanceScore	pvalue	PercentageMissingPerRecord	V1	AreaShapeSpatialMoment23C	Compound	IRstatut	Wellnumber	XPlate	Concentration	Category	XsplitColumn	Raw_AreaShapeAreaC
1	1	d04	SAMPLE	BML-281	-0.466979172058485	-1.88154324155431	0.0924852478271428	-0.948586654051718	2.14243531008757	0.089050112511339	0.404159932896349	1.57488427992209	0	0	47	997747538262213888	BML-281	+ IR	D04	AstroD-IR-1uM-plate1	1uM	SAMPLE	AstroD-IR-1uM-plate1	117698.84
1	1	g12	SAMPLE	Darolutamide	-0.638178145934752	-0.25202449790308	0.183903655307485	-0.980993520323351	1.24482727178612	-0.129678245335013	-0.250480482230366	1.53950029863358	0	0	93	2338376534741254656	Darolutamide	+ IR	G12	AstroD-IR-1uM-plate1	1uM	SAMPLE	AstroD-IR-1uM-plate1	106363.060606061
1	1	l12	SAMPLE	Desmopressin	-0.771932001028183	-0.371236749298991	-0.294688078873572	-0.921763310824079	2.64902610216704	-0.956139024223553	-0.681678291568922	1.68844595832445	0	0	98	1370498500011005952	Desmopressin	+ IR	L12	AstroD-IR-1uM-plate1	1uM	SAMPLE	AstroD-IR-1uM-plate1	114253.666666667
2	1	d18	SAMPLE	Vitamin D2	0.762349585425887	0.0315172406644395	0.660534129652187	-0.202503927250947	1.79359753086661	0.738929396007144	1.05656252534214	1.57501455089952	0	0	374	1223534225448019712	Vitamin D2	+ IR	D18	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	81889.303030303
2	1	d19	NEGATIVE	DMSO	-0.333889329751154	0.314559366911046	2.51705939480323	-0.629741760021267	3.8630750177905	0.898424889933494	1.40067064020171	1.74813586081383	0	0	202	2092110134406662400	DMSO	+ IR	D19	AstroD-IR-1uM-plate2	1uM	NEG	AstroD-IR-1uM-plate2	112014
2	1	h18	SAMPLE	Zosuquidar 3HCl	0.109309227869093	0.00431997418417329	-0.588381839777254	-0.0272833193567726	1.22123319020777	-1.27257765332721	0.395071813427186	1.53391048380501	0	0	378	788756962697300480	Zosuquidar 3HCl	+ IR	H18	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	85230.4090909091
2	1	h19	NEGATIVE	DMSO	-0.507009416285447	-0.0433373114239903	2.02803906676739	0.0254845897470071	3.19706443660188	0.360004080897897	1.04033773661694	1.81360736123963	0	0	210	929380044416235136	DMSO	+ IR	H19	AstroD-IR-1uM-plate2	1uM	NEG	AstroD-IR-1uM-plate2	108111.580645161
3	1	e15	SAMPLE	Etoposide	-0.127944199787205	-0.377069428291989	-0.11109462183388	-0.500613277699833	0.420610905735749	0.00958698178191771	-0.0551504073123757	1.53296256037473	0	0	521	771142905820621952	Etoposide	+ IR	E15	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	86311.9210526316
3	1	f06	SAMPLE	Alectinib	0.161870948597244	1.1241645448584	4.70764622302555	-0.654287132653952	5.85094707062844	1.57285008803385	0.683064009680914	1.658365892237	0	0	400	4407600408543849472	Alectinib	+ IR	F06	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	82059.72
3	1	f15	SAMPLE	Etoricoxib	-0.367228199121299	-0.576124285285541	1.07227661301682	-0.0825736027399652	2.1915714508711	1.29469888142636	1.42600806892964	1.59094071088425	0	0	522	308654118559657856	Etoricoxib	+ IR	F15	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	90981.6071428571
