PlateName	PlateID	wellLocation	ReagentClass	ReagentID	PCA01	PCA02	PCA03	PCA04	PCA05	PCA06	PCA07	PCA08	PCA09	DistanceScore	pvalue	PercentageMissingPerRecord	V1	Compound	IRstatut	Wellnumber	XPlate	Concentration	Category	XsplitColumn	Raw_AreaShapeAreaC
2	1	c13	SAMPLE	Roflumilast	0.269086688039258	-0.480714699556917	0.518933141521493	-0.00467117243391441	0.461038389944874	-1.10949955860354	-0.253160230185417	0.122684691169804	-0.708902614176663	1.76758947109126	6.55322825986945e-60	0	317	Roflumilast	+ IR	C13	AstroF-IR-1uM-plate2	1uM	SAMPLE	AstroF-IR-1uM-plate2	64614.7169811321
2	1	f14	SAMPLE	Sorafenib tosylate	0.117567645218906	-1.02861001008013	-0.505378428238544	0.0528086490973912	0.209675060868386	-1.80328992698827	0.0671816247917131	-0.0887010314485906	-1.21776401318247	1.70520286573081	2.10334159096838e-55	0	333	Sorafenib tosylate	+ IR	F14	AstroF-IR-1uM-plate2	1uM	SAMPLE	AstroF-IR-1uM-plate2	57301.7
4	1	d18	SAMPLE	Vitamin D2	0.40403069327054	-0.924454454304263	0.938962263834521	0.294457630484473	0.488722936975167	-0.21788368166794	0.111869288042009	2.38234339059924	-1.03245011921315	1.69762888953217	5.21265444569098e-55	0	759	Vitamin D2	+ IR	D18	AstroF-IR-3uM-plate2	3uM	SAMPLE	AstroF-IR-3uM-plate2	66081.42
2	1	g14	SAMPLE	Streptozocin	-0.309549937395544	0.255826648953162	0.430489679422001	-0.337766955738385	-0.109034977525244	-0.709526240224756	0.420429219774228	0.91049809707528	-1.38611875075635	1.62558729886447	7.43026445107426e-50	0	334	Streptozocin	+ IR	G14	AstroF-IR-1uM-plate2	1uM	SAMPLE	AstroF-IR-1uM-plate2	68311.4133333333
1	1	k18	SAMPLE	Irinotecan hydrochloride trihydrate	-0.0136353457104219	-0.725437091101397	0.676761282891968	0.10221898551038	1.39410736908578	-1.30510966859032	-0.0915532899195887	0.165844065975467	-0.779235563891354	1.60128906778055	3.1286473085198e-48	0	187	Irinotecan hydrochloride trihydrate	+ IR	K18	AstroF-IR-1uM-plate1	1uM	SAMPLE	AstroF-IR-1uM-plate1	75854.5223880597
2	1	d06	SAMPLE	Letrozole	-0.235960998126163	0.0651414247834477	1.96442949754409	-0.15478655244109	-0.659416179201987	-0.749458108695019	1.65932633184877	0.637922338642709	-0.308989033568033	1.59964633786959	3.3999080311248e-48	0	234	Letrozole	+ IR	D06	AstroF-IR-1uM-plate2	1uM	SAMPLE	AstroF-IR-1uM-plate2	82622.1698113208
2	1	i06	SAMPLE	Lorlatinib	0.0733524877411643	0.37998557802057	2.7673935432533	-2.04039902316365	-0.566836777864047	-1.53878812392286	0.680528412067829	0.113004205701721	-0.522141159745861	1.59536635510652	5.81114509939579e-48	0	239	Lorlatinib	+ IR	I06	AstroF-IR-1uM-plate2	1uM	SAMPLE	AstroF-IR-1uM-plate2	83250.3137254902
2	1	g13	SAMPLE	Rutin	0.412854004917753	0.549962064457855	0.71248285508833	0.137722917165974	-0.587471263520991	-0.365457740609019	1.03276396990671	0.434658474167658	-0.373983801715796	1.58763262776337	1.76010728927618e-47	0	322	Rutin	+ IR	G13	AstroF-IR-1uM-plate2	1uM	SAMPLE	AstroF-IR-1uM-plate2	66815.1929824561
2	1	g18	SAMPLE	zanubrutinib	-0.217568190481115	-0.165101462227016	1.14697101432576	-0.704197611562881	1.56326763837991	-0.802657052024734	0.608751497916573	0.529816672761757	-0.513153544215465	1.58062310950976	4.79230477952222e-47	0	383	zanubrutinib	+ IR	G18	AstroF-IR-1uM-plate2	1uM	SAMPLE	AstroF-IR-1uM-plate2	71529.78125
2	1	c09	SAMPLE	Niraparib	0.971654933929952	0.03245627156599	2.33723903035091	-0.314137907269113	0.943864875808261	0.199578851891688	0.652740542209991	-0.155521667138433	-0.900959676911021	1.57714417828999	6.84174794451554e-47	0	268	Niraparib	+ IR	C09	AstroF-IR-1uM-plate2	1uM	SAMPLE	AstroF-IR-1uM-plate2	80144.8571428571
2	1	d15	SAMPLE	Telotristat Etiprate	-0.654666755763843	0.635408482995788	1.93098350578947	0.102830148745628	-0.209343137866385	-1.09673798815576	0.392219782037583	0.343910483501977	-1.34011564748742	1.57712377718356	6.84174794451554e-47	0	343	Telotristat Etiprate	+ IR	D15	AstroF-IR-1uM-plate2	1uM	SAMPLE	AstroF-IR-1uM-plate2	86254.4385964912
2	1	g12	SAMPLE	Regorafenib	-0.57231127045245	-0.531845802036573	1.14474292189037	0.172851576768386	-0.115384420046538	-0.356512042896751	0.420621115616918	0.421367038813339	-1.12712057401072	1.57357170932269	1.10194945072439e-46	0	307	Regorafenib	+ IR	G12	AstroF-IR-1uM-plate2	1uM	SAMPLE	AstroF-IR-1uM-plate2	77431.8289473684
2	1	l13	SAMPLE	S-Isocorydine(+)	0.000818326578324712	0.40434395576086	1.07501475618426	0.230966462211358	0.303506538655777	-0.377564453242126	0.19859291343622	0.588674597421169	0.163234798681252	1.56614380843683	3.29014991499838e-46	0	324	S-Isocorydine(+)	+ IR	L13	AstroF-IR-1uM-plate2	1uM	SAMPLE	AstroF-IR-1uM-plate2	70431.7605633803
2	1	d09	SAMPLE	Noscapine hydrochloride	0.767466063490758	1.08384863720495	0.40185484684681	-0.918543380643545	-0.0914367005435055	-0.41249532584013	1.43727530859358	0.618831532728829	-1.33044597438817	1.54685853050599	6.2468197270901e-45	0	269	Noscapine hydrochloride	+ IR	D09	AstroF-IR-1uM-plate2	1uM	SAMPLE	AstroF-IR-1uM-plate2	62698.4255319149
2	1	h10	SAMPLE	Pemetrexed disodium	0.776530860598287	0.258124914343924	0.687751361991056	-1.17825528862581	0.337060810008702	-1.11525541151762	-0.0335580369183955	-0.137018970443482	0.15994755041076	1.54231361339628	1.17986095269005e-44	0	284	Pemetrexed disodium	+ IR	H10	AstroF-IR-1uM-plate2	1uM	SAMPLE	AstroF-IR-1uM-plate2	61911.6666666667
4	1	k10	SAMPLE	Pentostatin	0.286215293170426	-0.675819221464263	1.32546247851736	-0.735986265934468	0.523513669494418	-1.65784686965417	-0.319905669983405	-0.531360046142973	-0.764379342234566	1.53620478746664	2.84206188351516e-44	0	665	Pentostatin	+ IR	K10	AstroF-IR-3uM-plate2	3uM	SAMPLE	AstroF-IR-3uM-plate2	67838.4150943396
1	1	g14	SAMPLE	Entospletinib	0.694873839794934	-0.584889117972316	1.33380587123525	-0.428747324441208	0.905488145544724	-0.445004624961442	-1.29550777097632	0.184186810737329	-0.350618461157051	1.52410530737688	1.71187279317271e-43	0	133	Entospletinib	+ IR	G14	AstroF-IR-1uM-plate1	1uM	SAMPLE	AstroF-IR-1uM-plate1	74413.453125
