PlateID	WellLocation	replicateIdNumber	ReagentClass	ReagentID	PCA01	PCA02	PCA03	PCA04	PCA05	PCA06	PCA07	PCA08	PCA09	DistanceScore	pvalue	PercentageMissingPerRecord	microPlateID	XPlate	Well	Compound	Solvent	IRstatut	Category	XsplitColumn	AreaShapeNormalizedMoment00N	AreaShapeNormalizedMoment01N	AreaShapeNormalizedMoment10N	PlatewellN	AreaShapeNormalizedMoment00C	AreaShapeNormalizedMoment01C	AreaShapeNormalizedMoment10C	Wellnumber	Concentration	Raw_AreaShapeAreaN
1	b13	1	SAMPLE	SR-3306	0.956537621302342	0.232894408876319	0.158672346875543	-0.0762790408877859	-0.208734559429732	-0.083729464808448	-0.0479003494721671	-0.157695465544546	-0.179101190586452	1.46458450650883	0	0	1	Plate01	B13	SR-3306	DMSO	+ IR	Compounds	Plate01									1µM	3055.98936170213
1	b16	1	SAMPLE	Mitotane	0.143220627504658	0.924089965314375	-0.27981636955738	0.388851919381786	-0.0191695102894923	-0.553819359256502	-1.06166943654956	0.35771079577364	-0.415291608878581	1.63199139199641	0	0	1	Plate01	B16	Mitotane	DMSO	+ IR	Compounds	Plate01									1µM	3069.53125
1	b17	1	SAMPLE	Mitotane	0.625318558522766	0.189700997167595	-0.010405543101283	0.494653056050452	-0.649390406894962	-1.1028428259202	-0.688985639403317	-0.334972071066032	-0.503702236798342	1.6399175498868	0	0	1	Plate01	B17	Mitotane	DMSO	+ IR	Compounds	Plate01									1µM	3115.07960199005
1	b18	1	NEGATIVE	DMSO	1.02958066278301	0.62571419620739	-0.28917611204229	0.872882735466861	-0.136291459335988	0.372372212592166	-1.46803305114138	0.584004196550668	-0.780565282767423	1.5002169502981	0	0	1	Plate01	B18	DMSO	DMSO	+ IR	NEG (DMSO IR)	Plate01										3141.41666666667
1	b19	1	NEGATIVE	DMSO	-0.586422961007766	0.00837088583165153	0.227062219700701	-0.287458949199401	-0.469028057186818	-0.781007054363606	-1.0444769404689	-0.0398920158200439	-0.345073695638219	1.48652183897993	0	0	1	Plate01	B19	DMSO	DMSO	+ IR	NEG (DMSO IR)	Plate01										2954.13333333333
1	b21	1	SAMPLE	JSH-23	0.233481286740942	0.17245258197885	0.141273952655393	-0.216705481527015	0.111215728965008	0.263775744220525	-1.717483902303	0.430254868083308	-0.373173106195438	1.44065239115289	0	0	1	Plate01	B21	JSH-23	DMSO	+ IR	Compounds	Plate01									10µM	2943.33004926108
1	c06	1	SAMPLE	Doxylamine (succinate)	0.487658259641646	0.220603262595186	1.48143518200461	-0.217691461247565	-0.533134062769726	-1.01349839708749	0.280535687326907	0.564833027863282	-0.692749255514275	1.50590319579672	0	0	1	Plate01	C6	Doxylamine (succinate)	DMSO	+ IR	Compounds	Plate01									0.25µM	3171.7802690583
1	c12	1	SAMPLE	SR-3306	-0.147649399707809	-0.199206488363872	-0.149446189772464	-0.167997611102309	0.34271363122289	-0.33902214440679	-0.0962315880227174	0.530495016527877	-1.00390137495661	1.46514544406886	0	0	1	Plate01	C12	SR-3306	DMSO	+ IR	Compounds	Plate01									0.25µM	2828.11557788945
1	c21	1	SAMPLE	JSH-23	0.0371840356245536	-0.157208340430872	-1.261722815507	-0.0948748877422494	-0.0817357809258846	-0.772064248762674	-1.24630930601216	-0.569494429227677	-2.18447092981618	1.50313110100751	0	0	1	Plate01	C21	JSH-23	DMSO	+ IR	Compounds	Plate01									3µM	2950.99507389163
1	d20	1	SAMPLE	JSH-23	0.701989775789066	-0.329902281987866	-1.18789304176692	-0.483085812822941	-0.0558362156489822	-0.797429232316951	-1.56541394758755	-0.557824302315305	-0.0589432346668464	1.48949678332946	0	0	1	Plate01	D20	JSH-23	DMSO	+ IR	Compounds	Plate01									1µM	2837.77832512315
1	e18	1	SAMPLE	6-Thioguanine	0.206358462970314	-0.00183796643162823	-0.96038463702831	0.767060138136326	-0.391285557720634	-1.1401449884556	-1.56653255802715	0.122007739646467	-0.84629075619989	1.63095355113049	0	0	1	Plate01	E18	6-Thioguanine	DMSO	+ IR	Compounds	Plate01									3µM	3004.39449541284
1	f16	1	SAMPLE	Procarbazine (Hydrochloride)	-0.303362597580004	-0.366844215703775	-0.390433524677165	-0.238078800500849	0.0648933201932383	-1.21162232064007	-1.23273196120239	-0.520348962669415	-0.964240953964668	1.71078688249311	0	0	1	Plate01	F16	Procarbazine (Hydrochloride)	DMSO	+ IR	Compounds	Plate01									1µM	2875.15879828326
1	f17	1	SAMPLE	Procarbazine (Hydrochloride)	1.23884118914076	0.0174823793729879	-0.572677031257723	-0.118231624660941	-0.746284198055314	0.108783933334035	-1.22682743216144	-0.256713818159325	-1.05625374304795	1.43658615211703	0	0	1	Plate01	F17	Procarbazine (Hydrochloride)	DMSO	+ IR	Compounds	Plate01									1µM	3045.3595505618
1	g12	1	SAMPLE	PTACH	0.278007250958118	0.506868449258576	0.505503828463334	-0.13434312994017	-0.117299328023167	-0.860406982529324	0.19147098077061	0.529223181794732	0.312099564423888	1.56592342974482	0	0	1	Plate01	G12	PTACH	DMSO	+ IR	Compounds	Plate01									0.25µM	3098.27510917031
1	g13	1	SAMPLE	PTACH	0.0302852016510692	0.231766551491766	-0.0315808045780877	-0.10842982236247	-0.629930746275681	-0.768661287097961	-0.134244740212125	0.709075067759553	-0.411545167541061	1.59847140419341	0	0	1	Plate01	G13	PTACH	DMSO	+ IR	Compounds	Plate01									0.25µM	3027.00420168067
