PlateID	WellLocation	replicateIdNumber	ReagentClass	ReagentID	PCA01	PCA02	PCA03	PCA04	PCA05	PCA06	PCA07	PCA08	PCA09	PCA10	DistanceScore	pvalue	PercentageMissingPerRecord	microPlateID	XPlate	Well	Compound	Solvent	IRstatut	Category	XsplitColumn	AreaShapeNormalizedMoment00N	AreaShapeNormalizedMoment01N	AreaShapeNormalizedMoment10N	PlatewellN	AreaShapeNormalizedMoment00C	AreaShapeNormalizedMoment01C	AreaShapeNormalizedMoment10C	Wellnumber	Concentration	Raw_AreaShapeAreaN
1	b06	1	SAMPLE	Doxylamine (succinate)	0.93187850327144	0.6798937730243	0.0574483119334477	1.29341145966381	-0.55265484516153	-0.750293872777557	-0.25678048100959	0.390221227130398	-1.04929796127187	1.02916935556176	1.39410017624759	0.914963026028272	0	1	Plate01	B6	Doxylamine (succinate)	DMSO	+ IR	Compounds	Plate01									1µM	3406.5
1	b07	1	SAMPLE	Doxylamine (succinate)	0.775081423042554	0.25936033271183	0.481769422143069	1.14586931537872	-0.102344677095203	-0.675707831515782	0.693462645316641	0.229679597154555	-0.676094801184091	-0.265537846256929	1.37297477623505	0.914963026028272	0	1	Plate01	B7	Doxylamine (succinate)	DMSO	+ IR	Compounds	Plate01									1µM	3324.34635416667
1	b12	1	SAMPLE	SR-3306	0.758392476184364	0.54665211052833	-1.13965289630336	0.321506668397209	0.376049695222678	-0.462821100199777	0.372427554488206	-0.0712902650066105	-0.714382828980999	0.277336188303026	1.4008427868541	0.914963026028272	0	1	Plate01	B12	SR-3306	DMSO	+ IR	Compounds	Plate01									1µM	3294.76470588235
1	b16	1	SAMPLE	Mitotane	0.542075715058715	0.356134410602206	-0.250037603299602	-0.0961647080619334	-0.490889798783967	-1.47841634185191	0.050328916650119	-0.338833118506008	-2.02535188947761	-0.211376582917604	1.35832925472131	0.914963026028272	0	1	Plate01	B16	Mitotane	DMSO	+ IR	Compounds	Plate01									1µM	3405.81341107872
1	b17	1	SAMPLE	Mitotane	0.0170729220520183	0.204309843983287	-0.578623244692162	-0.44740356556946	-0.83872879788891	0.268392195239372	-0.44164886697663	0.198178584960815	0.0937886257675355	-0.266222604038573	1.57441705786082	0.914963026028272	0	1	Plate01	B17	Mitotane	DMSO	+ IR	Compounds	Plate01									1µM	3155.77945619335
1	b19	1	NEGATIVE	DMSO	0.529338076785278	0.370221876230988	-0.212160698901167	-0.553000897266573	-0.699170084055751	-0.318413789639561	0.150672886266344	-1.02553245328274	-1.7915260799504	-0.341354232262557	1.25732859264182	0.914963026028272	0	1	Plate01	B19	DMSO	DMSO	+ IR	NEG (DMSO IR)	Plate01										3350.66871165644
1	b21	1	SAMPLE	JSH-23	0.916856522843659	0.222933745892585	-1.58446315770251	-0.992898281732426	-0.998405618474907	0.44818127565357	0.0899582090472511	-1.20834887606996	-2.16050210870147	-0.290567670990952	1.36047383442873	0.914963026028272	0	1	Plate01	B21	JSH-23	DMSO	+ IR	Compounds	Plate01									10µM	3238.44871794872
1	c07	1	SAMPLE	Doxylamine (succinate)	0.108575602623161	0.31819126885476	-0.153240794735572	0.599446765197692	-0.355374507095553	0.345046568314858	-0.289876577528677	0.322827481091387	0.213637186756941	-0.360163251911829	1.60753979090428	0.914963026028272	0	1	Plate01	C7	Doxylamine (succinate)	DMSO	+ IR	Compounds	Plate01									0.25µM	3277.34234234234
1	c12	1	SAMPLE	SR-3306	0.224514558464363	0.0819743085349562	-0.162225652902531	-0.0777907281983831	0.406685715273108	-0.629890415678257	-0.16794795456243	0.347551089334985	-0.294160130596968	-0.993202786675328	1.4343658553494	0.914963026028272	0	1	Plate01	C12	SR-3306	DMSO	+ IR	Compounds	Plate01									0.25µM	3273.65879265092
1	c16	1	SAMPLE	Mitotane	0.00455930010743179	0.800243896636069	-0.473956662137407	-0.467384235475336	-0.00497673467841256	-0.289457177932152	-0.405119790197729	0.0204203429297678	-0.709457805053445	0.117430875311212	1.35008353058826	0.914963026028272	0	1	Plate01	C16	Mitotane	DMSO	+ IR	Compounds	Plate01									0.25µM	3347.28125
1	c18	1	NEGATIVE	DMSO	-0.0850200791387839	0.0290148242145537	0.0731170352432058	-0.601880571060188	-0.4146777358665	-0.947840891778599	-0.591265283918396	0.718479092394121	0.653506199445436	-0.429326711572442	1.27305251840668	0.914963026028272	0	1	Plate01	C18	DMSO	DMSO	+ IR	NEG (DMSO IR)	Plate01										3240.84170854271
