"","C1","C2","C3","C4","F1","F2","F3","F4","I1","I2","I3","I4","IF1","IF2","IF3","IF4"
"AKAP6",0.116869244150482,0.370524047512143,-0.388268784516708,0.487292163161102,0.269220261963,-0.332317168472127,-0.000659516962739914,0.435259057012992,-0.35242108860198,0.0961587610138661,-0.543700187975258,0.180903413125487,0.000659516962741691,-0.270506683125541,-0.208272859922751,-0.0755823728817369
"NRG1",-0.0613823596597491,0.060617046977681,-0.239847375922048,-0.269783660077529,-0.280796834536295,0.00501367257985663,-0.514637037056305,-0.458020769628529,0.460841633818912,0.537298372723939,0.0932500116422386,0.252530941987523,0.227759005311885,0.289222307191734,-0.0140866507988644,-0.00501367257985486
"IGF1",-0.214987027154548,0.134284947507369,0.524321371800169,0.0972514631309602,-0.414449628010972,0.134546559039246,0.256261556595811,0.00754911350591314,-0.00754911350591314,0.0365445745712227,-0.0277427740148291,-0.222716813090028,-0.200618802688635,0.0550249646954422,-0.161516607706445,-0.391587253469189
"CDH13",-0.043257134483051,-0.186435768599292,-0.0296786205359236,-0.291447020353477,0.021357532034747,0.134504753422272,-0.0257038696120837,-0.409660452444882,0.0689322132567867,0.557805074257558,0.149579465601995,-0.0706483560823425,0.0861386969434719,0.279084796968798,-0.021357532034747,0.198150803779527
"SLC9A1",-0.218380524923191,-0.130558920969925,-0.147306869453805,-0.217980796936338,-0.154063421485599,-4.14128412895565e-05,-0.0434477731776557,-0.248095990380714,0.0566091645272024,4.14128412913328e-05,0.321727949679188,0.219001108663301,0.404080384849223,0.154488914730617,0.371503662946791,0.185033316814778
"PLCG2",-0.303890084365681,-0.321556521448344,-0.373817727110448,-0.147902201380293,-0.147869596655274,0.0522076177071042,0.277859675428225,0.102310846611606,-0.344445165752743,0.0132754494858665,-0.0132754494858665,-0.16272173334171,0.123288851450792,0.20692451574901,0.12258059634409,0.18840991206044
"PTBP1",0.441627172567459,0.309623043902404,0.237181709233107,0.161955744608409,0.140526114455175,0.000299390014188106,-0.0225522528880902,-0.000299390014186329,0.195693416256635,0.139982314425028,-0.0725974891154397,-0.172020785994867,-0.229973018959544,-0.108606978927929,-0.288772909359649,-0.197055925524479
"LMCD1",-0.12126423105617,-0.0205239442694349,0.30926573229195,0.395827524607959,-0.17467099820353,-0.20386465658529,0.0434285986608121,-0.0277957065837384,-0.00399513570875243,-0.0312428244893006,0.162752013527973,0.196207038991618,-0.0367295415306277,0.00399513570875243,0.0425284713770022,0.122293812996867
"STIMATE",0.0519606838773967,-0.383058773449866,0.0227357986187027,0.0479503001977921,-0.131492103325879,0.200321650927975,-0.0227357986187027,-0.0283943722098616,0.0778183889163291,-0.0666651099151867,-0.0927440841011311,0.055630745157158,0.0688237699380867,0.0578983141084528,-0.251702956678747,-0.226265377557667
"SYK",-0.0720399365117528,0.0776262617017629,-0.0720399365117528,-0.0720399365117528,0.0720399365117528,-0.0720399365117528,-0.0720399365117528,-0.0720399365117528,0.126363038137917,0.457779862327633,-0.0720399365117528,0.134014595650768,0.131347745561753,0.0790617263700799,0.132310355251817,-0.0720399365117528
"ADA",-0.213871981801312,0.0227950129959797,0.147458391733743,0.0961624896321371,0.108556095263438,-0.0889233430019196,0.14053439329361,0.0965422319652625,-0.168012647400401,-0.237275644503356,0.0717319728887471,-0.00221631695543856,-0.0244982051978049,-0.233037452172498,0.00221631695543678,-0.110726285924821
"P2RX5",0.0755097348515603,0.230109456433942,0.108144788931757,-0.119865469921923,0.121176889598461,0.0231892261362505,-0.087610734588365,-0.0521222954334171,-0.0631966157200026,0.19811191662942,-0.0231892261362496,0.0255541848240064,-0.0539269059465664,0.26845588766595,-0.0259640827301366,-0.18089356682997
"CAMTA1",-0.1300974388462,-0.0086750507272253,0.0482555551901278,0.145202175581197,0.0166520484256267,-0.0320642183938187,0.114266921892671,0.266730578271154,-0.10774522371354,-0.250079829714174,0.019439008222335,-0.047769949179143,-0.0158022090612153,-0.00135696730854917,0.00135696730855095,0.166130508425438
"TREM2",-0.144560645347418,-0.144560645347418,0.0690041257351002,-0.144560645347418,-0.144560645347418,-0.144560645347418,-0.144560645347418,2.82358681147343e-06,-0.00421332595067359,0.13977367111119,0.0611875103723651,0.21173355917021,0.10443455384143,0.116916718717968,-2.82358681236161e-06,0.0619007693002231
"ERBB3",-0.162159911468188,0.07700473332019,0.0513431524079939,-0.0442185997090858,0.114760236803402,-0.052244939922117,0.0884386144072717,-0.0952723710498429,0.215191048677478,-0.0941924560065237,-0.203479788999996,-0.234325919448689,0.0523461107718584,0.0156675474607901,0.0129439377790703,-0.0129439377790694
"CHERP",0.228520419273899,0.183043576988865,0.0465721390616878,-0.144128205458607,0.141167232020083,0.00946862852912034,-0.0368229833976468,-0.188288804700857,0.00941049196147681,0.00231243639805889,0.0624903714034204,-0.0798449486407034,-0.00231243639805712,-0.0407641335887163,-0.0898242949676415,-0.119124389856291
"P2RX4",-0.0835220409032402,0.0123244445644488,-0.118244386548117,-0.0123244445644488,0.049907697823997,-0.0856382663961597,0.0313728999081277,0.15116624447459,-0.267120242570353,-0.094339378740047,0.105812348119136,0.0813973804089105,-0.071323227460427,-0.0327035524682859,0.14535421162317,0.0882682979442624
"SPPL3",0.0306626154783007,0.00388161638085371,-0.0128970492678828,-0.0978335562095562,0.00107067610334965,0.00391446367051707,-0.00107067610334965,0.0660916816336385,-0.12288809110564,0.00756690506968205,-0.377200422972924,-0.156040262768515,0.0609638847364184,0.0744728022995886,-0.0421806836224974,-0.0279558722057338
"P2RX3",0.105017249596192,0.033140361480692,-0.02734293556626,0.0648215765785602,-0.0343450362773021,-0.178424909300808,-0.178424909300808,-0.178424909300808,0.101939047309911,0.1059094071578,0.027323246418975,-0.0326604860921176,0.0705702898880398,-0.027323246418975,-0.178424909300808,0.028036505346833
