"","Compound","Category","Concentration","Astrocyte","DistanceScore","PCA01","PCA02","PCA03","PCA04","PCA05","PCA06","PCA07","PCA08","PCA09","PCA10","Library"
"1","(-) Emtricitabine","IR+ Compounds","1uM","AstroD",1.33090911865055,-1.05269233302579,-1.97306255529029,-0.690515888327852,-0.100793754537534,-1.70900282851034,-0.132060918637873,-0.0231995353028043,0.889979677715198,-0.21700810713583,-0.108400171864743,"FDA Approved Drugs Library"
"2","(-) Emtricitabine","IR+ Compounds","10uM","AstroD",1.25158838027689,0.194896075713566,-0.287866992533694,-0.767206147778884,0.134214278323894,-1.7798677707922,-0.343583357725877,-0.533257222588871,0.0986575580450667,0.785341347915326,0.966457343775993,"FDA Approved Drugs Library"
"3","(-) Emtricitabine","IR+ Compounds","1uM","AstroF",1.31568641024355,-0.871384120178715,0.139346368322925,-2.00043469381193,0.0978921044080514,1.30070106216435,-0.217722839453107,-2.86476849972212,0.57588797511216,1.09980480325946,NA,"FDA Approved Drugs Library"
"4","(-) Emtricitabine","IR+ Compounds","10uM","AstroF",1.03995210449844,-0.865732928856002,-1.3970322461218,-1.62069866702116,-0.624365859407028,1.70000476678946,0.241845942423834,-2.68678578965917,-0.819610792494807,0.517728451584081,NA,"FDA Approved Drugs Library"
"5","(-) Eseroline fumarate salt","IR+ Compounds","1uM","AstroD",1.40296043913156,-0.704476996584904,-0.187594110515124,-0.0995528270585218,0.307998882943238,1.26678493348435,1.14685056544564,-1.08743267832274,0.931010291686084,0.494492496377169,0.63640312158178,"FDA Approved Drugs Library"
"6","(-) Eseroline fumarate salt","IR+ Compounds","10uM","AstroD",1.08834265605256,-0.724359841738001,1.10125735289853,0.928626068546018,0.541739366271378,0.804277727149721,0.988840512208023,1.52564094325897,-0.266428863698632,0.134100973973227,0.0741824457006952,"FDA Approved Drugs Library"
"7","(-) Eseroline fumarate salt","IR+ Compounds","1uM","AstroF",1.2156275381835,-0.923591961895774,0.455376021950832,0.882385972104519,0.0758582742208224,0.283723572996634,0.250316119568648,0.922450178641402,0.544698227467857,-0.842637088488689,NA,"FDA Approved Drugs Library"
"8","(-) Eseroline fumarate salt","IR+ Compounds","10uM","AstroF",1.12302229007878,0.355023281012971,0.725723283414905,1.11841369377698,-0.90517389332029,-0.65767333423913,1.24174192728405,1.35147898624298,-0.524857720868751,0.335842778712115,NA,"FDA Approved Drugs Library"
"9","(-) Isoproterenol hydrochloride","IR+ Compounds","10uM","AstroD",1.13539555411038,0.0141660749762827,-0.306640574834965,-0.190882126608904,-0.238396514485881,0.703020957162135,1.24731822603399,-0.140837795297522,1.20317368779518,-0.315588495837791,-2.16653024863406,"FDA Approved Drugs Library"
"10","(-) Isoproterenol hydrochloride","IR+ Compounds","1uM","AstroD",1.05588893087808,0.0205317781241281,-0.814161514672205,0.0568058025995954,0.164949629098219,0.241065130279434,-0.889101763417784,-0.71097365693459,0.870416571634579,-0.47753085347482,0.0550690692380918,"FDA Approved Drugs Library"
"11","(-) Isoproterenol hydrochloride","IR+ Compounds","1uM","AstroF",1.16293761435482,-0.248894860958903,0.142171021927579,0.0639066257192419,-0.190060526851827,-0.338006075591775,-0.0999162253354978,-0.508668976818717,1.04256582031082,-0.455254388382402,NA,"FDA Approved Drugs Library"
"12","(-) Isoproterenol hydrochloride","IR+ Compounds","10uM","AstroF",1.10273987507583,1.02729006718617,-1.17160008356577,-0.914426349367658,-0.515212881298801,-0.604576844071229,1.5631677063451,-0.972094414586212,-0.577848638514317,0.722417660841852,NA,"FDA Approved Drugs Library"
"13","(-) Levobunolol hydrochloride","IR+ Compounds","10uM","AstroD",1.13332648008726,-0.322039481556714,0.0299335396274459,0.837073093498599,-0.54534244285829,-0.399804526292234,-0.481564724898675,-0.595944953231328,-0.744432086194768,-0.188731712413588,0.132785025088348,"FDA Approved Drugs Library"
"14","(-) Levobunolol hydrochloride","IR+ Compounds","1uM","AstroD",1.06550473965223,-0.594037008298033,0.181837892520675,-0.303696768433706,1.60617516345531,1.16338146630879,-0.356097425355163,0.284756401810621,1.35838954362027,0.160983416928415,0.147595751459719,"FDA Approved Drugs Library"
"15","(-) Levobunolol hydrochloride","IR+ Compounds","10uM","AstroF",1.47406056149597,0.311502105617797,0.822253860448002,0.0872133939535419,-0.357825821444048,0.295592915567449,0.0617227043323672,-0.0399996004813693,-0.554928036156151,-0.866261047441087,NA,"FDA Approved Drugs Library"
"16","(-) Levobunolol hydrochloride","IR+ Compounds","1uM","AstroF",0.723769595736475,0.15813563351117,1.00977482156884,0.0564536393202662,-0.0383614946650423,0.222122502788759,-1.77801150882291,0.181391799599275,-0.511718970886292,-0.669869262545504,NA,"FDA Approved Drugs Library"
"17","(-)-MK 801 hydrogen maleate","IR+ Compounds","1uM","AstroD",1.46313281780198,-1.06900176026135,-0.0136075823221893,-0.341968167125183,0.012876474730572,-0.0842026467730941,0.0590176392987452,-0.275135554889481,-0.279445976681969,1.48339997413582,0.370493491012317,"FDA Approved Drugs Library"
"18","(-)-MK 801 hydrogen maleate","IR+ Compounds","10uM","AstroD",1.01392913903356,0.262920444853144,-1.29707173463242,-1.1977952733586,-0.445339151341031,-1.92192600391527,-0.534517981866924,-1.15055487578534,-0.697076910528855,1.06722674124122,0.791432177246361,"FDA Approved Drugs Library"
