"statistic","source","condition","score","p_value"
"mlm","Androgen","stat",0.50478964154477,0.61371294923865
"mlm","EGFR","stat",6.81875524276198,9.4832964599293e-12
"mlm","Estrogen","stat",-3.65243523747264,0.000260523122148893
"mlm","Hypoxia","stat",2.96654568883896,0.00301572600264303
"mlm","JAK-STAT","stat",-0.213927615163613,0.830605997655691
"mlm","MAPK","stat",-8.01803053520392,1.14182071556448e-15
"mlm","NFkB","stat",1.45443099860346,0.145844788616516
"mlm","PI3K","stat",-3.31281830806405,0.000925482458932151
"mlm","TGFb","stat",6.47585105797233,9.6788853587796e-11
"mlm","TNFa","stat",0.389581864077903,0.696850506547706
"mlm","Trail","stat",1.84907095036443,0.0644644247812533
"mlm","VEGF","stat",0.95302238061065,0.340591896366894
"mlm","WNT","stat",-0.562133000766758,0.574032606445154
"mlm","p53","stat",39.9741039055977,0
