"","I1","I2","I3","I4","IF1","IF2","IF3","IF4"
"GPNMB",0.0217433142124315,0,0.0560356384371563,0.114315226570734,0.74594125384037,0.711129015944065,1,0.779688120447615
"UAP1L1",0.0430981912084976,0.0411525985604671,0.113420018287829,0,1,0.928379656140795,0.911691073451439,0.637295083519106
"STARD4",0.111686669259444,0,0.116083702168644,0.0912533010961373,1,0.957756417868762,0.972087298396868,0.821507479586625
"LDLR",0.172951604400818,0,0.150864929171999,0.0125272508259607,1,0.957619398584222,0.971204559423038,0.616332542811807
"IDI1",0.120595242894573,0.00667564689946781,0.0939338003613362,0,1,0.949774952034984,0.798772776392523,0.57193299935444
"NPC1",0,0.19052962133481,0.0836356376112291,0.0511195366444002,1,0.985548413449269,0.939436664155324,0.729425739902049
"DHCR24",0.219947448262815,0,0.0502255729952038,0.0283788908490629,1,0.887297817051718,0.747514235487546,0.512247930779699
"CYP51A1",0.22943838447231,0.0856913576294415,0.0991444731031454,0,1,0.890830441464138,0.795801460585564,0.480742173935442
"FTL",0,0.106080642490054,0.31323764066373,0.246416122366469,0.92396709639885,0.930749856307842,1,0.791340402072501
"SREBF2",0.168286154620764,0,0.0931404867428366,0.173516842423369,0.990971254902301,1,0.921025788508751,0.785526923453178
"SLC2A3",0.0406199407028229,0.0587370212975308,0,0.00855721862946905,1,0.906067436017191,0.711361937596069,0.591852976887553
"TPP1",0.0810693286796121,0,0.276032868952915,0.393489613826941,0.741954246363939,0.683074082458858,0.829544854231909,1
"LPIN1",0.0481084484785495,0.0370413516377226,0.0831067565133679,0,1,0.839923466036991,0.842990703500324,0.47852144531904
"PRXL2A",0.0808066036711974,0,0.320788495214778,0.248900127246944,0.891446518781191,0.747756977584925,1,0.787514730867634
"ENO2",0.249936657060449,0.222786947846456,0,0.0602925896119391,1,0.903919214800038,0.599241121811,0.585989099982721
"GNPDA1",0.0821850630228464,0,0.160662647310767,0.295819587150379,1,0.885487907248511,0.934823416500382,0.924973251105159
"MT-ND5",0.122012571409545,0,0.316918370669268,0.316402471919907,0.642088626787464,0.616711980485659,1,0.886422329440069
"SREBF1",0.151857107401,0.0698780596725964,0.351681099265729,0,0.91510459066832,1,0.997435616738753,0.682236232917977
"HMGCR",0.222852064533532,0.0342524876332584,0.049203689747819,0,1,0.783383316366515,0.702681492169964,0.372175317038604
"SQSTM1",0.0512893130969797,0.229247904875015,0,0.10280718880308,0.847911062036833,1,0.717662991874186,0.517131283149695
"KIF1A",0.397078493701333,0.448134624430924,0,0.148189016493468,0.90411941756497,1,0.601021444982412,0.516130542809732
"RAB29",0.0615171293035123,0,0.0092626714126601,0.272726090419102,0.930762059099693,0.92824206974134,1,0.897637858843953
"NPC2",0,0.00415239215003391,0.20222904105917,0.286552230837705,0.87753676568722,0.845646605419344,1,0.970300503562805
"RENBP",0.0855917741177949,0.186764811655499,0.0226293726483758,0,1,0.881838657316674,0.915657279369328,0.774483661725906
"PLA2G3",0.0607884513995781,0,0.0992914439465887,0.0951731281561967,1,0.92831087236866,0.849057623297437,0.528032009840932
"SC5D",0.0708611273963321,0,0.129406007671962,0.0667002498655411,0.956120544248341,1,0.841452764366695,0.704683201288428
"SQLE",0.220366034779767,0,0.14627806790686,0.0479179128308805,1,0.85517854688362,0.745558317295401,0.450526769006379
"COL14A1",0,0.120330009672692,0.253078093847676,0.344922353032457,0.640557468117592,0.687715749799426,1,0.870114498497145
"LYNX1",0.117429109988227,0,0.340455954021069,0.191799079561566,1,0.789548150881991,0.850564377868455,0.755905927769744
"MMAB",0.257237194800219,0,0.217175513825013,0.198375439102413,1,0.801451510507752,0.871159929324326,0.686370931345756
"RRAGD",0.23484027804791,0.115333345679654,0,0.0785639237974881,0.91378839826207,1,0.796540520341347,0.82290678240627
"SCD",0.188152102030567,0,0.108019169795663,0.128150710708382,1,0.983671447465681,0.951986982023291,0.753930440428308
"TXNIP",0.68360895358899,0.793031648031286,0.821537967440876,1,0,0.111124953744337,0.0379109274986948,0.288222812768337
"ANGPTL4",0.958333717385671,1,0.752003713112917,0.712017199318019,0.283541438924179,0.193367661500564,0,0.0570635078209201
"LOXL4",0.605514223808872,0.584128233497867,0.985281886232952,1,0,0.0317083315369776,0.322978384680335,0.410264304871807
"ZYX",1,0.979270531158794,0.929833395132795,0.790777216984377,0.0829262373458985,0.138903899967993,0.101724000486005,0
"DHRS3",0.686360154371253,0.861840817674608,1,0.981168429407406,0,0.418568889430495,0.422634102765388,0.461721714030563
"COTL1",0.947399564513584,1,0.848400502660834,0.645238050833016,0.0116590112975693,0.139807711252792,0.0298572414549672,0
"ADAM19",0.750637967042647,0.799913778735116,1,0.997099166959446,0,0.171425188524799,0.379817441633832,0.574278565458418
"CAVIN1",0.900203875128689,1,0.81105553275113,0.793416087470369,0.00635989102558367,0.124069691602651,0,0.21153590504444
"CCND1",0.571931584520364,1,0.51493748537301,0.487049247812272,0,0.410837021534024,0.134607000837736,0.0425440289861287
"RRM2",0.814549369266471,0.88570030326738,1,0.880056594629433,0,0.2498771369859,0.193892378491251,0.31708016158776
"PLAU",0.833631416336927,1,0.76383195831714,0.92607316536745,0.0101532829897847,0.362303918648296,0,0.352413465632677
"MKI67",0.810778296262228,1,0.92323618201515,0.864934775804081,0,0.291652308929244,0.165299032828771,0.22929920722664
"ARRDC4",0.713772265897609,0.566861926142547,0.693124976085836,1,0.105479418531876,0.0835156384208838,0,0.287615541633969
"CNN2",0.879297479414636,0.916787077358333,1,0.858337234548067,0,0.328497528168412,0.251486640856553,0.195608001517712
"SYNPO",1,0.860951373023242,0.825303661877334,0.981230397780937,0,0.220285743142767,0.0546654678493703,0.316913729383222
"TOP2A",0.79660826924385,0.970879850407778,1,0.94268294907588,0,0.271182271588758,0.0881706882485496,0.312953519578565
"NOL6",0.849392848981155,1,0.75208982804816,0.481448333365489,0.118791613796127,0.240413732313635,0.0858621272921004,0
"IGFBP5",0.65006356997322,1,0.661778080573509,0.663022292738909,0,0.207182188682661,0.0833588909221375,0.302568338152958
"TNC",0.546361720929278,0.740038825046449,1,0.973565090772304,0,0.030180892245764,0.234783468107591,0.408365143793176
"MYL9",0.635515748590472,0.74965853252889,1,0.993528854646933,0,0.343654002416553,0.480895639465441,0.670960512546411
